id:ID,department,jobRole,jobLevel,tenureCohort,isActive:boolean,exitDate
EMP_0001,Sales,Sales Executive,Junior Level,5-10,True,2020-02-18
EMP_0002,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0003,Research & Development,Laboratory Technician,Entry Level,0-2,True,2023-08-18
EMP_0004,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0005,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0006,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0007,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0008,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0009,Research & Development,Manufacturing Director,Mid Level,5-10,True,
EMP_0010,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0011,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0012,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0013,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0014,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0015,Research & Development,Laboratory Technician,Entry Level,2-5,True,2022-08-05
EMP_0016,Research & Development,Manufacturing Director,Mid Level,10+,True,
EMP_0017,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0018,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0019,Sales,Manager,Senior Level,10+,True,
EMP_0020,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0021,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0022,Sales,Sales Representative,Entry Level,5-10,True,2023-07-05
EMP_0023,Research & Development,Research Director,Mid Level,10+,True,
EMP_0024,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0025,Research & Development,Research Scientist,Entry Level,2-5,True,2023-06-29
EMP_0026,Research & Development,Manager,Executive Level,10+,True,
EMP_0027,Research & Development,Research Scientist,Entry Level,10+,True,2023-02-24
EMP_0028,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0029,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0030,Sales,Manager,Executive Level,2-5,True,
EMP_0031,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0032,Research & Development,Healthcare Representative,Junior Level,2-5,True,
EMP_0033,Research & Development,Laboratory Technician,Entry Level,10+,True,
EMP_0034,Sales,Sales Representative,Junior Level,0-2,True,2023-12-26
EMP_0035,Research & Development,Research Scientist,Entry Level,2-5,True,2021-05-22
EMP_0036,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0037,Sales,Sales Representative,Entry Level,2-5,True,2020-05-25
EMP_0038,Sales,Sales Representative,Entry Level,2-5,True,
EMP_0039,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0040,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0041,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0042,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0043,Research & Development,Laboratory Technician,Entry Level,0-2,True,2023-11-09
EMP_0044,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0045,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0046,Research & Development,Research Director,Executive Level,10+,True,2020-07-01
EMP_0047,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0048,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0049,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0050,Research & Development,Laboratory Technician,Entry Level,0-2,True,
